"Date","Open","High","Low","Close","Value"
"2016-01-04","1.19","1.2","1.13","1.14","17296181"
"2016-01-05","1.16","1.19","1.11","1.16","17139261"
"2016-01-06","1.15","1.23","1.13","1.21","37708458"
"2016-01-07","1.2","1.23","1.17","1.17","19109066"
"2016-01-08","1.19","1.19","1.09","1.11","11641582"
"2016-01-11","1.11","1.13","1.08","1.09","8120110"
"2016-01-12","1.09","1.16","1.09","1.11","14130078"
"2016-01-13","1.12","1.13","1.1","1.11","10207802"
"2016-01-14","1.11","1.14","1.09","1.11","18865531"
"2016-01-15","1.12","1.12","1.07","1.08","8075337"
"2016-01-18","1.09","1.1","1.02","1.03","7970978"
"2016-01-19","1.04","1.11","1.03","1.06","13993171"
"2016-01-20","1.06","1.11","1.05","1.06","10891166"
"2016-01-21","1.07","1.08","1.01","1.02","11129609"
"2016-01-22","1.04","1.16","1.03","1.09","31215119"
"2016-01-25","1.11","1.12","1.08","1.08","5142632"
"2016-01-26","1.07","1.12","1.06","1.09","9510953"
"2016-01-27","1.1","1.13","1.09","1.1","6330076"
"2016-01-28","1.1","1.12","1.09","1.1","6162804"
"2016-01-29","1.11","1.14","1.1","1.11","12270429"
"2016-02-01","1.11","1.12","1.07","1.09","9645494"
"2016-02-02","1.09","1.1","1.07","1.07","6354368"
"2016-02-03","1.07","1.1","1.06","1.08","8559797"
"2016-02-04","1.09","1.14","1.08","1.11","22946689"
"2016-02-05","1.12","1.18","1.09","1.11","18382951"
"2016-02-08","1.11","1.14","1.1","1.11","10769957"
"2016-02-09","1.11","1.14","1.05","1.08","14633507"
"2016-02-10","1.09","1.1","1.06","1.07","6819126"
"2016-02-11","1.07","1.08","1.04","1.05","3720918"
"2016-02-12","1.06","1.07","1.04","1.05","4524208"
"2016-02-15","1.05","1.06","1","1.03","7427575"
"2016-02-16","1.04","1.06","1.02","1.03","4549382"
"2016-02-17","1.03","1.06","1.02","1.05","4705742"
"2016-02-18","1.05","1.08","1.03","1.07","7119804"
"2016-02-19","1.07","1.12","1.04","1.06","13478472"
"2016-02-22","1.07","1.1","1.06","1.08","8048000"
"2016-02-23","1.09","1.11","1.08","1.1","6237817"
"2016-02-24","1.09","1.11","1.07","1.07","8216909"
"2016-02-25","1.07","1.09","1.06","1.07","3178947"
"2016-02-26","1.07","1.09","1.06","1.06","2711075"
"2016-02-29","1.07","1.1","1.06","1.09","6190595"
"2016-03-01","1.1","1.2","1.1","1.13","13727875"
"2016-03-02","1.14","1.14","1.08","1.11","8627980"
"2016-03-03","1.11","1.13","1.09","1.11","4854766"
"2016-03-04","1.13","1.13","1.1","1.13","5146566"
"2016-03-07","1.13","1.2","1.12","1.19","11465384"
"2016-03-08","1.2","1.4","1.2","1.35","40635810"
"2016-03-09","1.36","1.39","1.23","1.24","17897418"
"2016-03-10","1.25","1.31","1.21","1.24","17330371"
"2016-03-11","1.24","1.25","1.18","1.19","7218300"
"2016-03-14","1.19","1.25","1.15","1.25","14197392"
"2016-03-15","1.27","1.27","1.21","1.21","9930286"
"2016-03-16","1.22","1.25","1.21","1.23","7139826"
"2016-03-17","1.25","1.28","1.24","1.26","11800877"
"2016-03-18","1.27","1.28","1.25","1.28","7248446"
"2016-03-21","1.28","1.37","1.27","1.33","12671998"
"2016-03-22","1.34","1.35","1.28","1.3","7970326"
"2016-03-23","1.3","1.34","1.29","1.29","9106580"
"2016-03-24","1.3","1.31","1.23","1.26","9606401"
"2016-03-25","1.26","1.3","1.26","1.27","5199554"
"2016-03-28","1.27","1.3","1.27","1.28","2808033"
"2016-03-29","1.28","1.29","1.26","1.26","4647531"
"2016-03-30","1.27","1.29","1.26","1.29","3673395"
"2016-03-31","1.29","1.29","1.27","1.29","3501943"
"2016-04-01","1.29","1.33","1.28","1.31","8165355"
"2016-04-04","1.32","1.33","1.3","1.31","3692700"
"2016-04-05","1.31","1.32","1.26","1.27","8770845"
"2016-04-06","1.28","1.28","1.24","1.24","6647472"
"2016-04-07","1.25","1.26","1.22","1.23","3794397"
"2016-04-08","1.24","1.27","1.2","1.25","8497501"
"2016-04-11","1.25","1.27","1.24","1.26","3996288"
"2016-04-12","1.27","1.34","1.25","1.33","13277163"
"2016-04-13","1.33","1.37","1.31","1.34","10128250"
"2016-04-14","1.35","1.37","1.32","1.33","6093054"
"2016-04-15","1.33","1.36","1.32","1.32","3851713"
"2016-04-18","1.32","1.35","1.3","1.33","6517621"
"2016-04-19","1.34","1.44","1.33","1.44","14652258"
"2016-04-20","1.45","1.48","1.34","1.35","12793982"
"2016-04-21","1.36","1.43","1.36","1.39","9370117"
"2016-04-22","1.4","1.41","1.36","1.4","5811394"
"2016-04-25","1.4","1.46","1.38","1.45","10734825"
"2016-04-26","1.45","1.46","1.38","1.39","8366796"
"2016-04-27","1.4","1.44","1.39","1.42","5894779"
"2016-04-28","1.42","1.44","1.41","1.41","3894474"
"2016-04-29","1.42","1.43","1.39","1.4","3732575"
"2016-05-02","1.41","1.42","1.34","1.36","5069210"
"2016-05-03","1.37","1.38","1.26","1.29","8056828"
"2016-05-04","1.29","1.29","1.2","1.25","7016935"
"2016-05-05","1.2","1.3","1.17","1.28","7368941"
"2016-05-06","1.28","1.29","1.23","1.25","4492605"
"2016-05-09","1.26","1.28","1.24","1.26","3036298"
"2016-05-10","1.26","1.26","1.19","1.21","7048272"
"2016-05-11","1.21","1.22","1.18","1.21","2541572"
"2016-05-12","1.21","1.23","1.18","1.18","4025755"
"2016-05-13","1.18","1.18","1.13","1.16","5564278"
"2016-05-16","1.15","1.21","1.11","1.13","5274197"
"2016-05-17","1.14","1.19","1.14","1.18","5801722"
"2016-05-18","1.16","1.22","1.16","1.19","9465031"
"2016-05-20","1.18","1.2","1.16","1.17","2099392"
"2016-05-23","1.17","1.18","1.15","1.16","1583627"
"2016-05-24","1.17","1.25","1.17","1.24","9401154"
"2016-05-25","1.25","1.25","1.19","1.21","5240855"
"2016-05-26","1.21","1.22","1.18","1.19","4722978"
"2016-05-27","1.2","1.21","1.18","1.2","2568787"
"2016-05-30","1.2","1.2","1.17","1.17","2122266"
"2016-05-31","1.18","1.19","1.15","1.15","5899556"
"2016-06-01","1.15","1.16","1.12","1.14","3646088"
"2016-06-02","1.14","1.17","1.13","1.14","2612945"
"2016-06-03","1.15","1.17","1.14","1.15","3304500"
"2016-06-06","1.16","1.17","1.13","1.14","2393933"
"2016-06-07","1.15","1.15","1.11","1.12","4108893"
"2016-06-08","1.12","1.14","1.11","1.12","2612303"
"2016-06-09","1.12","1.13","1.06","1.09","9480244"
"2016-06-10","1.09","1.1","1.05","1.05","3138697"
"2016-06-13","1.05","1.05","0.99","1.02","4828994"
"2016-06-14","1.02","1.03","1","1","2996697"
"2016-06-15","1.02","1.06","1.01","1.03","4013490"
"2016-06-16","1.03","1.09","1.02","1.04","9827644"
"2016-06-17","1.05","1.06","1.01","1.03","3957897"
"2016-06-20","1.03","1.03","0.99","1.01","4666273"
"2016-06-21","1.01","1.03","1","1.02","3360175"
"2016-06-22","1.02","1.03","1","1.01","1459242"
"2016-06-23","1.01","1.01","0.98","0.99","4021028"
"2016-06-24","0.99","1.04","0.95","0.99","9484727"
"2016-06-27","0.99","1.01","0.97","0.98","2498811"
"2016-06-28","0.99","1","0.98","0.98","2396168"
"2016-06-29","0.99","0.99","0.97","0.98","2202897"
"2016-06-30","0.98","1","0.96","0.97","3863534"
"2016-07-01","0.97","0.97","0.94","0.96","4437315"
"2016-07-04","0.96","0.98","0.96","0.97","1269364"
"2016-07-08","0.97","1","0.96","0.98","3015822"
"2016-07-11","0.98","0.99","0.96","0.98","5520052"
"2016-07-12","0.98","1.02","0.98","1","6309602"
"2016-07-13","1.01","1.01","0.99","1.01","4253463"
"2016-07-14","1.01","1.02","1","1.02","3817237"
"2016-07-15","1.02","1.02","0.99","1","3125403"
"2016-07-18","0.82","0.9","0.8","0.8","11815934"
"2016-07-19","0.79","0.79","0.64","0.72","13638197"
"2016-07-20","0.72","0.72","0.66","0.68","7908401"
"2016-07-21","0.65","0.65","0.61","0.63","5822840"
"2016-07-22","0.63","0.75","0.63","0.75","9009330"
"2016-07-25","0.79","0.9","0.79","0.9","7897226"
"2016-07-26","1","1.02","0.87","0.91","16516648"
"2016-07-27","0.91","0.93","0.86","0.9","6766282"
"2016-07-28","0.91","0.96","0.88","0.9","8596321"
"2016-07-29","0.9","0.91","0.85","0.86","3387357"
"2016-08-01","0.86","0.88","0.84","0.86","2927616"
"2016-08-02","0.85","0.94","0.83","0.87","9334324"
"2016-08-03","0.86","0.88","0.82","0.84","3438752"
"2016-08-04","0.84","0.85","0.82","0.84","2394421"
"2016-08-05","0.85","0.86","0.83","0.83","1899108"
"2016-08-08","0.84","0.85","0.83","0.84","1529041"
"2016-08-09","0.84","0.84","0.82","0.84","2657739"
"2016-08-10","0.84","0.86","0.82","0.83","6436172"
"2016-08-11","0.84","0.84","0.81","0.82","2463385"
"2016-08-12","0.82","0.83","0.77","0.8","4448194"
"2016-08-15","0.81","0.81","0.78","0.8","2084263"
"2016-08-16","0.79","0.83","0.79","0.8","4856474"
"2016-08-17","0.83","0.91","0.82","0.85","15013890"
"2016-08-18","0.86","0.87","0.81","0.82","4074549"
"2016-08-19","0.83","0.83","0.8","0.82","2872320"
"2016-08-22","0.83","0.86","0.81","0.84","4899288"
"2016-08-23","0.84","0.85","0.83","0.83","3115210"
