"Date","Open","High","Low","Close","Value"
"2016-01-04","12","12.25","11.5","11.54","1092396"
"2016-01-05","11.56","11.99","11.26","11.69","1082302"
"2016-01-06","11.55","12.67","11.37","12.63","2852151"
"2016-01-07","12.75","13.26","12.7","12.76","1774858"
"2016-01-08","12.89","12.9","11.8","11.88","1233721"
"2016-01-11","11.8","12.17","11.67","11.84","876910"
"2016-01-12","11.88","12.35","11.84","11.86","1207415"
"2016-01-13","11.93","12.29","11.89","12.16","1255196"
"2016-01-14","12.12","12.85","12.07","12.7","1723575"
"2016-01-15","12.8","12.84","12.11","12.19","917944"
"2016-01-18","12.27","12.5","11.8","11.8","806287"
"2016-01-19","11.91","12.45","11.83","12.29","1215369"
"2016-01-20","12.16","12.66","12.14","12.2","1435863"
"2016-01-21","12.24","12.33","11.81","11.96","666089"
"2016-01-22","12.2","13","12.07","12.41","2172472"
"2016-01-25","12.51","12.57","12.15","12.2","530566"
"2016-01-26","12.1","12.5","12.03","12.29","874567"
"2016-01-27","12.32","12.57","12.26","12.33","834297"
"2016-01-28","12.39","12.52","12.27","12.3","899258"
"2016-01-29","12.38","12.54","12.33","12.54","1245350"
"2016-02-01","12.54","12.9","12.41","12.45","610178"
"2016-02-02","12.57","12.62","12.28","12.33","616106"
"2016-02-03","12.21","12.89","12.21","12.77","1138367"
"2016-02-04","12.9","14.22","12.8","14.09","2099780"
"2016-02-05","14.12","15.39","13.41","14","2507503"
"2016-02-08","14.1","15.16","14.01","14.78","1338241"
"2016-02-09","14.94","15.66","14.07","15.18","2071589"
"2016-02-10","15.29","15.5","13.82","13.99","1317370"
"2016-02-11","13.99","14.59","13.93","14","1220087"
"2016-02-12","14.06","14.17","13.52","13.76","766661"
"2016-02-15","13.8","14.5","13.1","14.13","1006186"
"2016-02-16","14.25","14.55","13.88","14","688053"
"2016-02-17","14.1","14.5","13.94","14.34","1457106"
"2016-02-18","14.29","14.84","14.15","14.62","1553071"
"2016-02-19","14.79","15.49","14.55","14.92","1483189"
"2016-02-22","14.92","15.4","14.8","14.89","1317009"
"2016-02-23","14.92","15.04","14.9","14.93","620182"
"2016-02-24","15","15.62","14.87","15.35","1313331"
"2016-02-25","15.4","15.64","15.02","15.16","718052"
"2016-02-26","15.22","15.3","15.04","15.12","305886"
"2016-02-29","15.13","16.43","15.13","16.24","794093"
"2016-03-01","16","16.45","15.69","16.01","715000"
"2016-03-02","15.8","15.94","14.74","15.56","1004748"
"2016-03-03","15.6","15.94","15.58","15.75","611184"
"2016-03-04","16.05","16.44","15.9","16.29","738508"
"2016-03-07","16.29","17.1","16.1","16.94","602271"
"2016-03-08","16.98","19.68","16.96","17.96","4080898"
"2016-03-09","18.06","18.13","16.45","16.5","1635426"
"2016-03-10","16.55","17.32","16.4","16.79","1358227"
"2016-03-11","16.9","16.96","16.22","16.34","650537"
"2016-03-14","16.4","16.89","15.93","16.88","1051580"
"2016-03-15","16.87","16.97","16.35","16.45","666287"
"2016-03-16","16.36","17.29","16.36","17.21","849037"
"2016-03-17","17.44","18.53","17.44","18.2","1092956"
"2016-03-18","18.25","18.76","17.81","18.76","1430271"
"2016-03-21","18.76","19.5","18.64","18.71","893930"
"2016-03-22","18.72","18.86","18.01","18.03","664698"
"2016-03-23","18.02","18.4","17.9","17.97","423233"
"2016-03-24","17.83","18.18","17.5","17.55","441398"
"2016-03-25","17.6","18.18","17.6","17.77","310331"
"2016-03-28","17.99","18.08","17.8","18","85847"
"2016-03-29","18.1","18.26","17.7","17.71","349466"
"2016-03-30","17.85","18.45","17.85","18.15","753425"
"2016-03-31","18.25","18.25","17.85","18.07","381932"
"2016-04-01","18.08","18.3","17.91","18.14","444062"
"2016-04-04","18.14","18.3","17.94","18.01","315654"
"2016-04-05","18.08","18.2","17.35","17.64","474747"
"2016-04-06","17.75","17.85","17.02","17.07","576994"
"2016-04-07","17.2","17.27","16.7","17.12","438450"
"2016-04-08","17.15","18","15.52","17.89","799125"
"2016-04-11","18.05","18.49","17.84","18.42","430816"
"2016-04-12","18.47","19.09","18.41","18.73","642060"
"2016-04-13","18.73","19.55","18.52","19.39","774039"
"2016-04-14","19.42","19.69","18.76","18.76","474093"
"2016-04-15","19.3","19.3","18.26","18.43","625382"
"2016-04-18","18.44","18.75","18.02","18.2","619315"
"2016-04-19","18.21","18.5","18.16","18.38","905059"
"2016-04-20","18.4","18.51","17.02","17.18","1103177"
"2016-04-21","17.21","18.47","17.21","18.06","1125143"
"2016-04-22","18.13","18.3","17.74","18.25","703313"
"2016-04-25","18.34","18.45","17.99","18.35","358207"
"2016-04-26","18.45","18.45","17.84","18","537854"
"2016-04-27","18.2","18.54","18.01","18.1","654145"
"2016-04-28","18.16","18.25","17.96","18.02","373713"
"2016-04-29","18.12","18.4","17.93","18.3","942480"
"2016-05-02","18.3","18.6","17.93","17.94","627831"
"2016-05-03","18.07","18.11","16.89","16.97","624678"
"2016-05-04","17.06","17.09","15.89","15.9","877811"
"2016-05-05","15.85","16.23","14.81","16","1259675"
"2016-05-06","16.01","16.04","15.51","15.85","554333"
"2016-05-09","16","16.21","15.86","15.9","445800"
"2016-05-10","15.85","15.98","15.15","15.68","445956"
"2016-05-11","15.69","15.76","15.31","15.41","761270"
"2016-05-12","15.39","15.5","14.92","14.98","588864"
"2016-05-13","14.92","14.92","14.25","14.35","1259462"
"2016-05-16","14.18","14.69","13.2","13.52","1118071"
"2016-05-17","13.6","15.58","13.6","15.27","2110664"
"2016-05-18","15.29","16.44","15.29","15.87","1568214"
"2016-05-20","15.8","16.38","15","15.14","633529"
"2016-05-23","15.14","15.64","15.14","15.27","370909"
"2016-05-24","15.29","16.2","15.29","15.44","830189"
"2016-05-25","15.5","15.59","14.52","14.6","891824"
"2016-05-26","14.62","15.24","14.21","14.7","918847"
"2016-05-27","14.8","15.04","14.45","14.8","525389"
"2016-05-30","14.6","14.75","14.1","14.22","730749"
"2016-05-31","14.3","14.45","13.74","13.74","1193592"
"2016-06-01","13.8","13.89","13.55","13.7","671323"
"2016-06-02","13.76","14.3","13.52","13.63","981382"
"2016-06-03","13.65","14.16","13.6","14.08","595615"
"2016-06-06","14.23","14.7","13.87","13.95","541225"
"2016-06-07","14.07","14.29","13.88","14.02","662137"
"2016-06-08","14.06","14.21","13.9","14","730977"
"2016-06-09","14.13","14.13","13.63","13.8","421286"
"2016-06-10","13.94","13.94","13.4","13.41","321200"
"2016-06-13","13.41","13.55","12.91","13.32","470286"
"2016-06-14","13.35","13.43","13.02","13.05","437475"
"2016-06-15","13.1","13.35","13.04","13.28","661336"
"2016-06-16","13.5","14.42","13.18","13.34","1638958"
"2016-06-17","13.39","13.58","12.92","12.94","872887"
"2016-06-20","13.15","13.25","12.89","13.09","466149"
"2016-06-21","13.07","13.29","12.92","13.02","421626"
"2016-06-22","13.02","13.09","12.75","12.77","561269"
"2016-06-23","12.79","13","12.58","12.88","617204"
"2016-06-24","12.5","13.75","12","12.85","1752891"
"2016-06-27","12.94","13.15","12.73","12.81","728817"
"2016-06-28","12.85","12.98","12.8","12.92","503489"
"2016-06-29","12.88","13.03","12.82","12.99","423824"
"2016-06-30","12.99","13.18","12.73","12.73","593039"
"2016-07-01","12.76","12.94","12.74","12.93","365849"
"2016-07-04","13.05","13.3","12.85","13.16","210087"
"2016-07-08","13.11","13.83","13.1","13.48","874319"
"2016-07-11","13.62","13.99","13.51","13.9","849164"
"2016-07-12","13.95","14.36","13.6","13.67","904468"
"2016-07-13","13.71","13.91","13.63","13.72","588262"
"2016-07-14","13.76","13.94","13.64","13.65","599977"
"2016-07-15","13.72","13.72","13","13.28","1038620"
"2016-07-18","10.76","12.12","10.63","10.63","1737358"
"2016-07-19","10.6","10.6","8.56","9.85","2766271"
"2016-07-20","9.8","10.36","9.25","9.84","2941766"
"2016-07-21","9.6","10","9.14","9.18","1231677"
"2016-07-22","9.42","10.88","9.25","10.35","4521231"
"2016-07-25","10.56","11.35","10.51","11.01","3684261"
"2016-07-26","11.12","11.29","9.99","10.14","2611998"
"2016-07-27","10.27","10.42","10.02","10.33","1638843"
"2016-07-28","10.35","10.44","10.1","10.31","1257888"
"2016-07-29","10.34","10.34","9.91","10.13","868959"
"2016-08-01","10.2","10.25","10.06","10.15","602415"
"2016-08-02","10.18","10.65","10.05","10.3","1801297"
"2016-08-03","10.35","10.42","9.82","9.95","973969"
"2016-08-04","10.02","10.25","9.8","10.18","696882"
"2016-08-05","10.16","10.29","9.94","10.13","489213"
"2016-08-08","10.27","10.4","10.14","10.26","517607"
"2016-08-09","10.27","10.45","10.22","10.42","603867"
"2016-08-10","10.42","10.97","10.31","10.43","1207411"
"2016-08-11","10.49","10.54","10.11","10.24","775831"
"2016-08-12","10.24","10.24","9.2","9.5","1877927"
"2016-08-15","9.52","9.91","9.3","9.57","989145"
"2016-08-16","9.75","10.15","9.57","10.06","1466254"
"2016-08-17","10.23","11.25","10.15","10.87","2081208"
"2016-08-18","11","11.06","10.22","10.54","1198567"
"2016-08-19","10.5","10.5","10.22","10.36","532540"
"2016-08-22","10.2","11.06","10.19","10.54","1585332"
"2016-08-23","10.69","10.85","10.4","10.7","672899"
"2016-08-24","10.9","12.84","10.9","12.84","3387587"
"2016-08-25","13.8","15.2","13","14.54","11115208"
"2016-08-26","14.64","14.68","13.61","13.9","3553665"
"2016-08-29","13.89","14.1","12.8","13.55","1279360"
"2016-08-31","13.5","14.04","12.8","13.83","2490062"
"2016-09-01","14.01","14.2","13.37","13.37","1639178"
"2016-09-02","13.66","14.17","13.28","14.1","3160050"
"2016-09-05","14.32","14.6","13.91","14.13","1966111"
"2016-09-06","14.18","14.38","13.99","14.27","1040680"
"2016-09-07","14.4","14.75","14.27","14.6","1467111"
"2016-09-08","14.75","15.15","14.7","14.97","1928718"
"2016-09-09","15.4","17.59","15.08","16.34","7571844"
"2016-09-16","16.46","17.77","16.3","17.71","6677910"
"2016-09-19","18.5","19.69","18.06","19.57","7908711"
"2016-09-20","19.68","19.7","16.54","17.96","8313009"
"2016-09-21","17.96","18.07","17.04","17.42","3749284"
"2016-09-22","17.6","18.5","17.53","17.85","3068783"
"2016-09-23","17.85","18.07","17.6","17.6","1064383"
"2016-09-26","16.5","18.19","16.41","17.43","2430291"
