"Date","Open","High","Low","Close","Value"
"2016-01-04","17.45","17.45","16.85","16.95","822582"
"2016-01-05","17.04","17.13","16.51","16.87","1098668"
"2016-01-06","16.75","16.96","16.55","16.86","790821"
"2016-01-07","16.72","17.08","16.53","17.07","1036396"
"2016-01-08","17.2","17.3","16.76","16.81","996278"
"2016-01-11","16.7","16.99","16.62","16.81","905335"
"2016-01-12","16.9","17.01","16.79","16.89","1089753"
"2016-01-13","16.95","17.14","16.95","16.97","1432200"
"2016-01-14","16.85","16.95","16.65","16.7","1618091"
"2016-01-15","16.7","16.8","16.55","16.59","882800"
"2016-01-18","16.71","16.73","16.62","16.66","564910"
"2016-01-19","16.75","16.85","16.66","16.66","851489"
"2016-01-20","16.55","16.59","16.3","16.3","714224"
"2016-01-21","16.29","16.29","15.94","15.95","1149824"
"2016-01-22","16.11","16.17","16.03","16.15","955805"
"2016-01-25","16.2","16.35","16.19","16.22","825364"
"2016-01-26","16.12","16.36","15.97","16.34","1701500"
"2016-01-27","16.38","16.58","16.3","16.45","1010845"
"2016-01-28","16.54","16.77","16.47","16.48","867813"
"2016-01-29","16.82","16.93","16.61","16.63","1030321"
"2016-02-01","16.67","16.74","16.58","16.73","733153"
"2016-02-02","16.78","16.87","16.38","16.48","763210"
"2016-02-03","16.41","16.6","16.33","16.48","785727"
"2016-02-04","16.6","16.75","16.6","16.64","1008246"
"2016-02-05","16.66","16.86","16.65","16.66","902970"
"2016-02-08","16.69","16.73","16.14","16.14","559685"
"2016-02-09","16.02","16.18","15.9","16.07","488189"
"2016-02-10","16.15","16.26","16.07","16.18","391992"
"2016-02-11","16.08","16.1","15.95","16.02","440292"
"2016-02-12","16.1","16.14","15.92","15.92","648623"
"2016-02-15","15.92","15.95","15.5","15.69","749564"
"2016-02-16","15.7","15.81","15.55","15.57","526997"
"2016-02-17","15.55","16.02","15.51","16.02","744206"
"2016-02-18","16","16.08","15.89","16.08","751883"
"2016-02-19","16.17","16.85","16.15","16.57","1510895"
"2016-02-22","16.65","17.07","16.65","16.99","1374102"
"2016-02-23","17","17.29","16.95","17.13","866339"
"2016-02-24","17.13","17.25","16.98","17.01","851088"
"2016-02-25","17.05","17.38","17.05","17.3","861418"
"2016-02-26","17.4","17.58","17.07","17.1","931583"
"2016-02-29","17.1","17.47","17.01","17.38","876376"
"2016-03-01","17.47","17.5","17.32","17.32","606234"
"2016-03-02","17.4","17.52","17.37","17.45","974694"
"2016-03-03","17.5","17.9","17.49","17.85","1408428"
"2016-03-04","17.54","17.54","17.03","17.23","1780312"
"2016-03-07","17.24","17.48","17.24","17.24","1028954"
"2016-03-08","17.25","17.28","16.92","17.01","1138555"
"2016-03-09","17.01","17.05","16.9","16.94","1042260"
"2016-03-10","16.98","17.04","16.7","16.75","1720773"
"2016-03-11","16.84","16.92","16.65","16.9","1158889"
"2016-03-14","16.83","17.03","16.75","16.83","1818370"
"2016-03-15","16.86","17.15","16.73","16.77","2857004"
"2016-03-16","16.87","16.9","16.64","16.78","1384603"
"2016-03-17","16.98","17","16.85","16.95","1683416"
"2016-03-18","16.98","17.36","16.95","17.32","3544304"
"2016-03-21","17.29","17.55","17.16","17.46","3735004"
"2016-03-22","17.42","17.42","16.82","16.91","2264664"
"2016-03-23","16.86","16.96","16.65","16.65","1318488"
"2016-03-24","16.66","16.79","16.53","16.67","1661438"
"2016-03-25","16.7","16.79","16.68","16.7","845025"
"2016-03-28","16.73","16.85","16.73","16.73","980652"
"2016-03-29","17","17.06","16.89","16.99","2119731"
"2016-03-30","17.15","17.17","16.95","17.07","3653657"
"2016-03-31","17.09","17.3","17.07","17.19","2551057"
"2016-04-01","17.19","17.31","17.11","17.14","1965103"
"2016-04-04","17.24","17.47","17.19","17.42","2632930"
"2016-04-05","17.43","17.64","17.39","17.57","4730327"
