"Date","Open","High","Low","Close","Value"
"2016-01-04","7.23","7.25","7.12","7.14","47462373"
"2016-01-05","7.21","7.26","7.08","7.24","66802626"
"2016-01-06","7.19","7.26","7.07","7.21","82981848"
"2016-01-07","7.17","7.33","7.12","7.32","62017458"
"2016-01-08","7.35","7.37","7.21","7.22","48601939"
"2016-01-11","7.19","7.33","7.13","7.29","60634012"
"2016-01-12","7.29","7.38","7.22","7.27","79619642"
"2016-01-13","7.32","7.4","7.3","7.34","71441487"
"2016-01-14","7.33","7.37","7.16","7.2","84577019"
"2016-01-15","7.21","7.27","7.07","7.1","81851883"
"2016-01-18","7.15","7.21","7.07","7.16","52787346"
"2016-01-19","7.23","7.29","7.2","7.23","49274372"
"2016-01-20","7.18","7.24","7.03","7.05","46175126"
"2016-01-21","7.08","7.11","6.94","7.06","50567591"
"2016-01-22","7.13","7.15","7.04","7.12","48533229"
"2016-01-25","7.15","7.18","7.09","7.12","33946714"
"2016-01-26","7.09","7.32","7.04","7.29","81414825"
"2016-01-27","7.28","7.38","7.24","7.28","74979181"
"2016-01-28","7.32","7.39","7.21","7.23","67046449"
"2016-01-29","7.31","7.37","7.26","7.31","74182100"
"2016-02-01","7.32","7.33","7.25","7.29","41175875"
"2016-02-02","7.32","7.38","7.22","7.22","58803855"
"2016-02-03","7.2","7.3","7.16","7.22","71815483"
"2016-02-04","7.31","7.33","7.25","7.29","87707634"
"2016-02-05","7.29","7.31","7.23","7.23","60286911"
"2016-02-08","7.24","7.26","6.88","6.89","101084576"
"2016-02-09","6.83","6.92","6.73","6.83","88392975"
"2016-02-10","6.88","6.96","6.82","6.88","76512819"
"2016-02-11","6.82","6.86","6.69","6.79","78514967"
"2016-02-12","6.82","6.85","6.66","6.66","73149963"
"2016-02-15","6.69","6.7","6.47","6.56","82843187"
"2016-02-16","6.57","6.68","6.57","6.62","74479112"
"2016-02-17","6.6","6.85","6.59","6.83","85775613"
"2016-02-18","6.82","6.95","6.76","6.93","79643061"
"2016-02-19","6.92","6.92","6.82","6.85","40518658"
"2016-02-22","6.92","7.11","6.91","7.09","65788756"
"2016-02-23","7.09","7.21","7.08","7.16","67271218"
"2016-02-24","7.17","7.21","6.93","6.94","63996497"
"2016-02-25","6.99","7.14","6.98","7.1","70596250"
"2016-02-26","7.16","7.22","7.09","7.13","62600233"
"2016-02-29","7.1","7.33","7.1","7.32","61365525"
"2016-03-01","7.45","7.54","7.41","7.45","74448477"
"2016-03-02","7.52","7.54","7.45","7.47","60101787"
"2016-03-03","7.5","7.54","7.39","7.42","64117035"
"2016-03-04","7.44","7.65","7.37","7.63","98397744"
"2016-03-07","7.66","7.7","7.55","7.61","79132937"
"2016-03-08","7.57","7.63","7.54","7.57","53872367"
"2016-03-09","7.58","7.69","7.57","7.69","69798902"
"2016-03-10","7.68","7.73","7.6","7.6","94761199"
"2016-03-11","7.67","7.8","7.63","7.79","70063857"
"2016-03-14","7.85","7.97","7.8","7.91","78118143"
"2016-03-15","7.91","7.91","7.65","7.66","79496012"
"2016-03-16","7.68","7.77","7.61","7.75","67212627"
"2016-03-17","7.87","7.88","7.8","7.84","72165527"
"2016-03-18","7.85","7.93","7.83","7.91","63378039"
"2016-03-21","7.89","8","7.83","7.96","89695487"
"2016-03-22","7.92","7.92","7.55","7.58","133070742"
"2016-03-23","7.59","7.62","7.48","7.51","71800588"
"2016-03-24","7.5","7.64","7.5","7.61","66964652"
"2016-03-25","7.62","7.7","7.62","7.63","33170475"
"2016-03-28","7.65","7.66","7.6","7.62","28767980"
"2016-03-29","7.65","7.72","7.63","7.63","51352872"
"2016-03-30","7.7","7.81","7.7","7.77","60261188"
"2016-03-31","7.78","7.85","7.77","7.79","53033466"
"2016-04-01","7.78","7.8","7.71","7.72","48934344"
"2016-04-04","7.76","7.86","7.73","7.84","54212779"
"2016-04-05","7.83","7.92","7.76","7.81","82232323"
"2016-04-06","7.83","7.88","7.6","7.62","74055830"
"2016-04-07","7.67","7.71","7.52","7.52","67015840"
"2016-04-08","7.55","7.59","7.44","7.55","58471746"
"2016-04-11","7.56","7.75","7.53","7.72","74553299"
"2016-04-12","7.73","7.77","7.61","7.63","64991809"
"2016-04-13","7.68","7.75","7.65","7.74","79556883"
"2016-04-14","7.76","7.81","7.67","7.71","82674219"
"2016-04-15","7.73","7.73","7.54","7.57","66980842"
"2016-04-18","7.53","7.65","7.52","7.56","64545478"
"2016-04-19","7.6","7.6","7.5","7.5","70588709"
"2016-04-20","7.47","7.48","6.93","6.99","144548324"
"2016-04-21","7.02","7.11","6.86","6.91","91463860"
"2016-04-22","6.94","7.08","6.9","7.04","92923654"
"2016-04-25","7.04","7.07","6.93","6.93","52622157"
"2016-04-26","6.95","7.02","6.86","6.97","77736738"
"2016-04-27","7","7.05","6.95","7.02","59385906"
"2016-04-28","7.03","7.08","6.98","6.99","59293114"
"2016-04-29","7.01","7.02","6.89","6.9","39898777"
"2016-05-02","6.9","6.93","6.83","6.84","43338893"
